,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,deposit
73,41,1,1,0.0,0,0.2866308274003974,1,0,0,15,8,1052,1,-1,0,1
74,42,9,2,1.0,0,-0.05101544450457987,1,0,0,15,8,1867,6,-1,0,1
75,36,7,2,1.0,0,-0.3868014063715132,1,0,0,16,8,515,1,-1,0,1
76,39,9,1,2.0,0,-0.44478106922388305,1,1,0,16,8,813,1,-1,0,1
77,31,6,2,2.0,0,-0.4292784855735168,1,0,0,16,8,676,1,-1,0,1
78,26,1,1,1.0,0,-0.3976532149267696,1,0,0,16,8,1143,3,-1,0,1
79,31,1,1,1.0,0,-0.4454011725698977,1,0,0,16,8,688,1,-1,0,1
80,29,0,2,1.0,0,-0.42338750378637763,1,1,0,16,8,803,1,-1,0,1
81,37,7,0,1.0,0,-0.4587333945092127,1,0,0,16,8,619,2,-1,0,1
82,33,1,2,1.0,0,-0.602907422457619,1,0,0,16,8,767,2,-1,0,1
83,24,9,2,1.0,0,-0.3471147922265756,1,0,0,16,8,912,1,-1,0,1
84,50,0,0,1.0,0,-0.36137716918491253,1,0,0,16,8,1340,1,-1,0,1
85,27,9,2,2.0,0,0.6751255736785761,1,0,0,16,8,897,1,-1,0,1
86,54,4,2,2.0,0,0.8881310730346086,1,0,0,16,8,1297,3,-1,0,1
87,30,9,2,1.0,0,-0.20635133268124986,1,0,0,16,8,1193,5,-1,0,1
88,34,1,1,0.0,0,-0.2584400137464805,1,1,0,16,8,1064,4,-1,0,1
89,37,4,2,1.0,0,-0.22836500146476996,1,0,0,16,8,1187,4,-1,0,1
90,41,0,2,1.0,0,-0.15767322001909978,1,0,0,19,8,882,1,-1,0,1
91,47,1,1,1.0,0,-0.20635133268124986,1,0,0,19,8,943,2,-1,0,1
92,31,0,1,1.0,0,-0.4438509142048611,1,0,0,19,8,607,1,-1,0,1
93,31,1,1,1.0,0,-0.24014696503904834,1,0,0,19,8,1022,4,-1,0,1
94,43,7,0,1.0,0,-0.15147218655895328,1,0,0,19,8,552,3,-1,0,1
95,37,4,0,2.0,0,-0.436099622379678,1,0,0,19,8,1622,2,-1,0,1
96,30,9,2,2.0,0,-0.20108045424012533,1,1,0,19,8,967,6,-1,0,1
97,41,9,1,1.0,0,-0.3185900383099016,1,0,0,19,8,579,5,-1,0,1
98,36,1,1,1.0,0,0.9020833983199382,1,0,0,20,8,446,1,-1,0,1
99,35,1,0,1.0,0,-0.47392592648657167,1,0,0,20,8,1205,1,-1,0,1
100,29,7,2,1.0,0,-0.3899019231015865,1,0,0,20,8,1882,2,-1,0,1
101,35,1,1,0.0,0,-0.4423006558398245,1,0,0,20,8,1334,1,-1,0,1
102,31,1,1,1.0,0,-0.47330582314055697,1,0,0,20,8,182,2,-1,0,1
103,35,7,1,1.0,0,0.8189895499539751,1,0,0,20,8,1777,1,-1,0,1
104,34,9,2,1.0,0,-0.447571534280949,1,0,0,20,8,1182,4,-1,0,1
105,31,0,2,1.0,0,-0.3402936554204144,1,1,0,20,8,1045,1,-1,0,1
106,44,9,0,1.0,0,-0.16945518359337816,1,0,0,20,8,650,3,-1,0,1
107,36,1,1,0.0,0,-0.3474248438995829,1,1,0,20,8,1063,2,-1,0,1
108,35,1,1,0.0,0,1.0211432407547512,1,0,0,20,8,843,2,-1,0,1
109,41,1,1,0.0,0,-0.08636133522741496,1,0,0,20,8,1392,2,-1,0,1
110,31,1,2,0.0,0,-0.40695476511698936,1,0,0,21,8,565,1,-1,0,1
111,34,1,1,1.0,0,-0.09969355716672995,1,0,0,21,8,905,1,-1,0,1
112,32,9,1,1.0,0,-0.2286750531377773,1,0,0,21,8,783,2,-1,0,1
113,36,4,1,2.0,0,-0.21069205610335243,1,1,0,21,8,958,2,-1,0,1
114,30,1,2,1.0,1,-0.39982357663782087,1,0,0,21,8,412,1,-1,0,1
115,37,9,2,1.0,0,-0.09845335047470065,1,0,0,21,8,795,1,-1,0,1
116,36,1,1,0.0,0,-0.2882049743551838,1,0,0,21,8,649,2,-1,0,1
117,31,4,2,2.0,0,-0.21813329625552824,1,0,0,21,8,506,2,-1,0,1
118,27,9,1,1.0,0,0.2029168756884196,1,1,0,21,8,857,1,-1,0,1
119,34,5,1,0.0,0,0.9209965503733851,0,0,0,21,8,1681,1,-1,0,1
120,30,9,2,2.0,0,-0.07426931998012927,1,0,0,21,8,1697,2,-1,0,1
121,32,9,2,2.0,0,0.9724651280926011,1,0,0,21,8,860,2,-1,0,1
122,37,9,2,1.0,0,0.5573059379357924,1,0,0,21,8,799,1,-1,0,1
123,32,1,1,1.0,0,-0.23115546652183588,1,0,0,21,8,923,3,-1,0,1
124,33,1,1,1.0,0,-0.47392592648657167,1,0,0,21,8,521,3,-1,0,1
125,35,1,1,0.0,0,-0.16573456351729024,1,0,0,23,8,1349,8,-1,0,1
126,35,6,0,2.0,0,-0.05411596123465313,1,0,0,23,8,736,2,-1,0,1
127,30,1,2,1.0,0,-0.39982357663782087,1,0,0,23,8,785,1,-1,0,1
128,45,1,0,0.0,0,-0.5703519967918498,1,0,0,23,8,1030,1,-1,0,1
129,45,0,1,1.0,0,-0.4277282272084802,1,0,0,23,8,893,3,-1,0,1
130,33,1,1,1.0,0,-0.020010277203847335,1,0,0,23,8,588,3,-1,0,1
131,44,4,0,2.0,0,1.3160023817847177,0,0,0,23,8,597,6,-1,0,1
132,40,1,1,0.0,0,-0.3877315613905352,1,0,0,23,8,1015,3,-1,0,1
133,31,1,1,1.0,0,0.4283244419647451,1,0,0,23,8,1392,2,-1,0,1
134,30,9,1,2.0,0,-0.3061879713896086,1,0,0,26,8,414,2,-1,0,1
135,44,9,0,1.0,0,-0.08264071515132705,1,0,0,26,8,788,11,-1,0,1
136,34,7,1,1.0,0,-0.6407337265645127,1,0,0,26,8,682,1,-1,0,1
137,37,1,1,1.0,0,-0.435169467360656,0,0,0,26,8,679,2,-1,0,1
138,28,6,2,2.0,0,-0.47392592648657167,1,0,0,26,8,1560,2,-1,0,1
139,32,0,2,1.0,0,-0.2816938892220299,1,0,0,26,8,1234,3,-1,0,1
140,37,1,0,1.0,0,-0.3759495978162568,1,0,0,26,8,642,2,-1,0,1
141,34,4,1,2.0,0,0.23516224968118143,1,0,0,26,8,895,4,-1,0,1
142,38,0,0,1.0,0,-0.4125356952311212,1,0,0,26,8,431,2,-1,0,1
143,28,0,2,1.0,0,-0.33130215690320197,1,0,0,26,8,741,6,-1,0,1
144,31,4,0,2.0,0,-0.11891676089318412,1,0,0,26,8,1272,4,-1,0,1
145,59,7,1,1.0,0,-0.4807470632927328,1,0,0,26,8,748,3,-1,0,1
146,24,1,1,1.0,0,-0.2615405304765538,1,0,0,26,8,896,3,-1,0,1
147,26,7,2,1.0,0,-0.1945693691069715,1,0,0,26,8,764,2,-1,0,1
148,59,5,2,1.0,0,-0.36509778926100045,1,0,0,27,8,1063,5,-1,0,1
149,30,2,2,0.0,0,-0.47392592648657167,1,1,0,27,8,1051,1,-1,0,1
150,37,0,1,1.0,0,-0.3889717680825645,1,0,0,27,8,731,3,-1,0,1
151,30,0,2,1.0,0,-0.5399669328371319,1,1,0,27,8,751,1,-1,0,1
152,25,1,1,1.0,0,-0.4438509142048611,1,0,0,27,8,709,1,-1,0,1
153,44,7,0,1.0,0,-0.45811329116319804,1,1,0,27,8,3094,2,-1,0,1
154,29,4,1,2.0,0,-0.3765697011622715,0,0,0,28,8,938,2,-1,0,1
155,26,4,2,2.0,0,1.6468275168835338,1,0,0,28,8,1560,2,-1,0,1
156,26,9,2,1.0,0,-0.2668114089176783,1,0,0,28,8,576,3,-1,0,1
157,27,7,2,1.0,0,-0.45718313614417605,1,0,0,28,8,543,2,-1,0,1
158,25,6,2,1.0,0,-0.08884174861147356,1,0,0,28,8,615,2,-1,0,1
159,28,4,1,1.0,0,-0.38339083796843265,1,0,0,28,8,507,1,-1,0,1
160,23,7,2,1.0,0,-0.2677415639367003,1,0,0,28,8,1183,1,-1,0,1
161,34,4,2,2.0,0,-0.14589125644482143,1,0,0,28,8,864,2,-1,0,1
162,28,8,2,1.0,0,-0.17968688880261988,1,0,0,28,8,1730,1,-1,0,1
163,51,2,1,1.0,0,-0.2860346126441325,1,0,0,28,8,560,9,-1,0,1
164,35,1,1,1.0,0,-0.47392592648657167,1,1,0,29,8,543,1,-1,0,1
165,35,0,1,1.0,0,-0.3486650505916122,1,0,0,29,8,539,1,-1,0,1
166,56,1,1,1.0,0,-0.39672305990774764,1,0,0,29,8,791,2,-1,0,1
167,45,10,0,1.0,0,0.5659873847799975,1,0,0,29,8,746,1,-1,0,1
168,60,1,0,1.0,0,-0.47392592648657167,1,0,0,29,8,1207,1,-1,0,1
169,56,9,1,1.0,0,-0.291305491085257,1,0,0,29,8,535,2,-1,0,1
170,27,4,2,2.0,0,3.543103548996336,1,0,0,29,8,789,3,-1,0,1
171,30,0,1,1.0,0,-0.2032508159511766,1,0,0,29,8,792,3,-1,0,1
172,45,1,0,0.0,0,-0.2897552327202204,1,0,0,29,8,833,2,-1,0,1
173,29,1,2,1.0,0,-0.48012695994671817,1,0,0,29,8,814,2,-1,0,1
174,38,4,0,2.0,0,0.9808365232637989,1,0,0,29,8,1363,2,-1,0,1
175,30,1,1,1.0,0,-0.32324081340501154,1,0,0,29,8,1109,3,-1,0,1
176,44,1,2,0.0,0,0.019986388614097635,1,0,0,29,8,828,3,-1,0,1
177,36,4,2,2.0,0,1.8843270984071452,1,0,0,30,8,917,1,-1,0,1
178,38,9,1,1.0,0,-0.40385424838691614,1,0,0,30,8,762,3,-1,0,1
179,36,1,2,1.0,0,-0.3604470141658906,1,1,0,30,8,1133,2,-1,0,1
180,37,4,0,1.0,0,-0.46896509971845446,1,0,0,30,8,638,1,-1,0,1
181,35,4,2,2.0,0,-0.29874673123743284,1,0,0,30,8,763,1,-1,0,1
182,38,0,0,1.0,0,-0.46803494469943246,1,0,0,30,8,604,2,-1,0,1
183,40,7,1,0.0,0,-0.1384500162926456,1,0,0,30,8,854,2,-1,0,1
184,42,10,0,1.0,0,0.05719258937497668,1,0,0,30,8,855,2,-1,0,1
185,46,4,0,2.0,0,4.015932350332507,1,0,0,30,8,1269,1,-1,0,1
186,35,9,0,1.0,0,1.3008098498073588,1,0,0,30,8,691,10,-1,0,1
187,34,9,0,1.0,0,-0.024040948952942565,1,0,0,30,8,1097,15,-1,0,1
188,32,7,1,1.0,0,-0.48446768336882073,1,0,0,30,8,1236,2,-1,0,1
189,50,10,1,1.0,0,0.6652039201423416,1,0,0,30,8,886,3,-1,0,1
190,35,1,1,1.0,0,-0.2575098587274586,1,1,0,30,8,1343,3,-1,0,1
191,36,9,2,1.0,0,0.808447793071726,1,0,0,30,8,812,3,-1,0,1
192,53,1,0,0.0,0,0.34957131702088445,1,0,0,30,8,1980,2,-1,0,1
193,46,4,2,2.0,0,0.4264641319267012,1,0,0,30,8,984,2,-1,0,1
194,26,4,2,2.0,0,-0.162634046787217,1,0,0,30,8,228,2,-1,0,1
195,45,9,2,1.0,0,-0.34680474055356825,1,0,0,30,8,891,4,-1,0,1
196,31,10,0,0.0,0,-0.47392592648657167,1,0,0,30,8,745,12,-1,0,1
197,29,4,2,2.0,0,-0.47392592648657167,1,0,0,30,8,539,12,-1,0,1
198,53,2,2,1.0,0,-0.4547027227601175,1,0,0,30,8,1044,5,-1,0,1
199,27,1,1,0.0,0,-0.3449444305155243,1,0,0,30,8,1193,2,-1,0,1
200,39,4,1,2.0,0,0.3827468460326683,1,0,0,2,6,526,2,-1,0,1
201,36,7,1,1.0,0,0.4512682657672872,1,0,0,2,6,394,1,-1,0,1
202,41,1,1,0.0,0,-0.4295885372465241,1,1,0,2,6,659,2,-1,0,1
203,36,7,1,0.0,0,-0.47392592648657167,1,0,0,2,6,1036,1,-1,0,1
204,32,9,1,1.0,0,-0.2581299620734732,1,0,0,2,6,815,1,-1,0,1
205,35,7,1,1.0,0,-0.4267980721894582,1,0,0,2,6,563,1,-1,0,1
206,36,4,2,2.0,0,-0.498109956981143,1,0,0,2,6,1068,1,-1,0,1
207,35,4,1,2.0,0,-0.20511112598922057,1,0,0,2,6,230,3,-1,0,1
208,30,1,2,1.0,0,-0.1784466821105906,1,0,0,2,6,747,2,-1,0,1
209,42,1,1,1.0,0,-0.33657303534432653,1,0,0,2,6,671,5,-1,0,1
210,42,9,2,1.0,1,-0.8239742653118419,1,0,0,2,6,555,5,-1,0,1
211,32,1,1,0.0,0,-0.3452544821885316,1,0,0,2,6,777,4,-1,0,1
212,29,1,2,1.0,0,-0.39331249150466707,1,0,0,2,6,707,14,-1,0,1
213,44,4,0,2.0,1,-0.6013571640925823,1,0,0,2,6,432,4,-1,0,1
214,32,9,2,1.0,0,-0.07736983671020252,1,0,0,3,6,1173,3,-1,0,1
215,31,10,1,1.0,0,-0.4472614826079417,1,1,0,3,6,963,2,-1,0,1
216,40,6,1,1.0,1,-0.7077048879340949,1,1,0,3,6,941,3,-1,0,1
217,43,2,1,1.0,0,-0.47392592648657167,0,0,0,3,6,1025,7,-1,0,1
218,27,4,2,1.0,0,-0.4187367286912677,1,0,0,3,6,732,2,-1,0,1
219,37,7,2,1.0,0,-0.3877315613905352,1,0,0,3,6,1045,3,-1,0,1
220,23,7,2,1.0,0,-0.3421539654584584,1,0,0,3,6,768,1,-1,0,1
221,25,4,1,0.0,0,-0.421837245421341,1,0,0,3,6,801,1,-1,0,1
222,26,1,2,1.0,1,-0.4850877867148354,1,0,0,3,6,482,2,-1,0,1
223,47,1,0,0.0,0,-0.43485941568764863,1,0,0,3,6,2456,2,-1,0,1
224,35,0,1,1.0,0,-0.500900422038209,1,0,0,3,6,1363,7,-1,0,1
225,32,9,2,2.0,0,1.473508631672439,1,0,0,3,6,1336,4,-1,0,1
226,45,4,0,1.0,0,-0.27425264906985414,1,0,0,4,6,633,1,-1,0,1
227,30,0,0,1.0,0,-0.35703644576280996,1,0,0,4,6,524,15,-1,0,1
228,29,7,2,1.0,0,-0.5579499298715568,1,0,0,4,6,578,1,-1,0,1
229,38,1,1,0.0,0,1.3364657922032013,1,0,0,4,6,984,2,-1,0,1
230,23,1,2,1.0,0,-0.32138050336696755,1,0,0,4,6,638,1,-1,0,1
231,27,4,2,2.0,0,-0.4432308108588464,1,0,0,4,6,767,2,-1,0,1
232,27,4,2,2.0,1,-0.6949927693407946,1,0,0,4,6,525,2,-1,0,1
233,29,7,2,1.0,0,-0.46400427295033725,1,0,0,4,6,563,1,-1,0,1
234,30,6,1,2.0,0,-0.305567868043594,1,1,0,4,6,1449,6,-1,0,1
235,36,1,1,0.0,0,-0.34897510226461953,1,0,0,4,6,920,1,-1,0,1
236,35,0,0,1.0,0,-0.33843334538237047,1,0,0,4,6,908,1,-1,0,1
237,36,1,1,1.0,0,0.07548563808240887,0,0,0,5,6,208,1,-1,0,1
238,59,5,0,0.0,0,-0.5012104737112163,1,0,0,5,6,910,2,-1,0,1
239,47,2,1,1.0,0,-0.47392592648657167,0,0,0,5,6,1446,1,-1,0,1
240,58,2,1,2.0,0,-0.2094518494113231,0,0,0,5,6,1149,2,-1,0,1
241,37,4,2,2.0,0,-0.39951352496481357,0,0,0,5,6,1123,1,-1,0,1
242,46,0,2,1.0,0,-0.21069205610335243,1,0,0,5,6,508,2,-1,0,1
243,43,1,2,1.0,0,-0.37532949447024216,1,0,0,5,6,736,2,-1,0,1
244,27,4,2,2.0,0,-0.25595960036242194,1,0,0,5,6,590,3,-1,0,1
245,38,7,0,1.0,0,-0.4550127744331248,0,0,0,5,6,636,1,-1,0,1
246,53,3,1,0.0,0,-0.44168055249380983,0,1,0,5,6,701,1,-1,0,1
247,47,1,1,1.0,0,0.14493721283604974,0,0,0,5,6,761,2,-1,0,1
248,56,3,0,0.0,1,-0.09008195530350287,0,0,0,5,6,1558,1,-1,0,1
249,41,3,1,1.0,0,-0.20139050591313265,0,0,0,5,6,1053,2,-1,0,1
250,29,6,1,1.0,0,-0.3421539654584584,1,0,0,5,6,562,15,-1,0,1
251,50,9,1,1.0,0,-0.3449444305155243,1,0,0,5,6,494,5,-1,0,1
252,45,1,0,0.0,0,-0.21224231446838907,0,0,0,5,6,1018,3,-1,0,1
253,35,1,1,1.0,0,-0.20728148770027185,1,0,0,5,6,884,4,-1,0,1
254,26,9,2,1.0,0,-0.2758029074348907,1,0,0,6,6,709,5,-1,0,1
255,26,0,1,1.0,0,-0.25378923865137065,1,1,0,6,6,1276,2,-1,0,1
256,37,1,1,1.0,0,-0.0063680035915250205,0,1,0,6,6,381,2,-1,0,1
257,30,0,2,1.0,0,-0.4047844034059381,1,0,0,6,6,862,11,-1,0,1
258,38,4,2,2.0,0,-0.2820039408950373,1,0,0,6,6,460,4,-1,0,1
259,37,7,0,1.0,0,-0.37501944279723487,1,0,0,6,6,467,3,-1,0,1
260,53,9,1,1.0,0,-0.3251011234430555,0,0,0,6,6,648,2,-1,0,1
261,29,1,2,0.0,0,-0.40788492013601135,1,0,0,6,6,2653,3,-1,0,1
262,35,4,2,2.0,0,-0.45284241272207354,0,0,0,6,6,1085,1,-1,0,1
263,28,1,1,1.0,0,0.3904981378578514,1,0,0,6,6,369,2,-1,0,1
264,55,1,1,1.0,0,1.8703747731218154,0,0,0,6,6,685,3,-1,0,1
265,49,4,0,1.0,0,-0.4881883034449086,1,0,0,9,6,1055,10,-1,0,1
266,50,7,1,1.0,0,0.020606491960112286,0,0,0,9,6,882,1,-1,0,1
267,43,4,2,2.0,0,-0.14961187652090932,0,0,0,9,6,901,1,-1,0,1
268,58,6,0,2.0,0,-0.045434514390448016,0,0,0,9,6,700,1,-1,0,1
269,38,9,1,0.0,0,-0.40664471344398206,1,0,0,9,6,491,6,-1,0,1
270,48,1,0,0.0,0,-0.41718647032623113,0,0,0,9,6,940,1,-1,0,1
271,59,4,1,1.0,0,-0.06434766644389486,0,0,0,9,6,3881,3,-1,0,1
272,58,1,1,1.0,0,-0.46617463466138853,0,0,0,9,6,486,3,-1,0,1
273,36,6,2,2.0,0,1.0279643775609124,0,0,0,9,6,1137,3,-1,0,1
274,42,2,1,2.0,0,1.1833002657375824,0,0,0,11,6,878,3,-1,0,1
275,41,0,2,1.0,0,-0.22216396800462346,0,1,0,11,6,583,4,-1,0,1
276,42,0,1,1.0,0,-0.4413705008208025,0,0,0,11,6,1159,4,-1,0,1
277,39,4,1,2.0,0,-0.5328357443579634,0,1,0,11,6,893,8,-1,0,1
278,57,3,1,0.0,0,-0.2801436308569933,0,1,0,11,6,867,1,-1,0,1
279,52,5,1,0.0,0,-0.3830807862954253,0,0,0,11,6,706,1,-1,0,1
280,59,5,1,0.0,0,-0.15364254827000456,0,0,0,11,6,1199,1,-1,0,1
281,56,1,1,1.0,0,-0.09876340214770797,0,0,0,11,6,935,1,-1,0,1
282,49,4,1,2.0,0,-0.45408261941410283,0,0,0,11,6,586,1,-1,0,1
283,35,1,0,2.0,0,-0.4230774521133703,0,0,0,11,6,967,2,-1,0,1
284,36,10,1,1.0,0,0.07362532804436492,0,0,0,11,6,595,2,-1,0,1
285,40,0,2,2.0,0,-0.08698143857342962,0,0,0,11,6,1290,2,-1,0,1
286,55,1,1,1.0,0,-0.47392592648657167,0,0,0,12,6,614,2,-1,0,1
287,58,0,1,1.0,0,-0.21782324458252092,0,0,0,12,6,885,1,-1,0,1
288,39,6,1,2.0,0,0.341509973522694,0,0,0,12,6,651,5,-1,0,1
289,47,3,2,2.0,0,0.68163665881173,0,0,0,12,6,993,6,-1,0,1
290,40,4,1,1.0,0,-0.34804494724559754,1,0,0,12,6,577,2,-1,0,1
291,35,1,1,2.0,0,0.4559190408623971,0,0,0,12,6,1141,6,-1,0,1
292,48,1,1,1.0,0,-0.1638742534792463,1,0,0,12,6,1268,2,-1,0,1
293,48,4,0,2.0,0,-0.317969934963887,0,1,0,12,6,1243,7,-1,0,1
294,24,1,2,1.0,1,-0.5368664161070587,1,0,0,12,6,465,3,-1,0,1
295,49,1,1,0.0,0,-0.36199727253092717,1,0,0,16,6,513,2,-1,0,1
296,36,1,1,1.0,0,-0.3889717680825645,1,0,0,16,6,686,11,-1,0,1
297,52,5,0,2.0,0,0.6692345918914369,1,1,0,16,6,741,4,-1,0,1
298,42,2,2,2.0,0,-0.3737792361052056,0,0,0,16,6,617,1,-1,0,1
299,36,7,1,1.0,0,-0.16976523526638548,0,0,0,16,6,1093,1,-1,0,1
300,36,1,0,1.0,0,-0.27611295910789807,1,0,0,16,6,1395,2,-1,0,1
301,48,10,2,2.0,0,0.5272309256540819,0,0,0,16,6,1089,1,-1,0,1
302,51,4,2,1.0,0,0.025257267055222164,1,0,0,16,6,1248,3,-1,0,1
303,51,1,1,1.0,0,-0.4636942212773299,0,1,0,16,6,721,3,-1,0,1
304,46,9,1,1.0,0,-0.30773822975464526,1,0,0,16,6,750,2,-1,0,1
305,37,4,1,2.0,0,-0.47392592648657167,0,0,0,16,6,637,6,-1,0,1
306,36,2,1,2.0,0,0.47390203789682195,0,0,0,16,6,2769,4,-1,0,1
307,47,4,1,1.0,0,0.42274351185061326,0,0,0,17,6,556,1,-1,0,1
